[2026-09-26T12:09:17.627Z] syncing 1501 Better Bathrooms products to Shopify as DRAFT
[2026-09-26T12:09:30.561Z] ✓ 600mm Black Wall Hung Vanity Unit with Basin - Pendle — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:15:07.389Z] ✓ Fluted Wall Hung Vanity Unit with Aluminium Basin - Venice — 4/4 variants, 7 images, 4 variant images
[2026-09-26T12:15:13.243Z] ✓ 1200mm Wall Hung Double Countertop Vanity Unit with Basin - Lugo — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:15:15.982Z] ✓ 650mm Black Wooden Fluted Wall Hung Countertop Vanity Unit with Black Square Basin - Matira — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:15:16.811Z] ✓ 800mm Walnut Wood Effect Curved Fluted Freestanding Countertop Vanity Unit with Basin – Matira — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:15:16.811Z] progress 75/1501 (ok 75, warnings 0, failed 0)
[2026-09-26T12:15:21.368Z] ✓ Oak Wood Effect Wall Hung Vanity Unit with Solid Surface Basin - Cali — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:15:25.024Z] ✓ 800mm Wooden Curved Fluted Freestanding Countertop Vanity Unit - Matira — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:15:26.194Z] ✓ 800mm Wooden Curved Fluted Freestanding Countertop Vanity Unit with Basin - Matira — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:15:31.017Z] ✓ 1200mm Wooden Curved Fluted Freestanding Double Countertop Vanity Unit - Matira — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:15:34.616Z] ✓ 1200mm Wooden Curved Fluted Freestanding Double Countertop Vanity Unit with Basins - Matira — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:15:35.792Z] ✓ 1200mm Freestanding Double Countertop Vanity Unit with Basin and Wood Worktop - Windsor — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:15:43.068Z] ✓ 800mm Black Freestanding Vanity with Basin - Perla — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:15:44.265Z] ✓ 1200mm Walnut Wood Effect Curved Fluted Freestanding Double Countertop Vanity Unit with Basin - Matira — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:15:48.548Z] ✓ Paintable Freestanding Vanity Unit with Basin - Orlando — 3/3 variants, 8 images, 3 variant images
[2026-09-26T12:15:51.622Z] ✓ 1200mm Freestanding Double Vanity Unit with Basin - Perla — 3/3 variants, 7 images, 3 variant images
[2026-09-26T12:15:52.059Z] ✓ 1200mm Walnut Wood Effect Curved Fluted Freestanding Double Countertop Vanity Unit - Matira — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:15:53.296Z] ✓ 1250mm Wooden Fluted Freestanding Double Countertop Vanity Unit - Matira — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:16:01.492Z] ✓ 1200mm Beige Fluted Freestanding Double Vanity Unit with Basin - Perla — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:16:01.928Z] ✓ 1250mm Wooden Fluted Freestanding Double Countertop Vanity Unit with Basins - Matira — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:16:09.582Z] ✓ 1000mm Beige Freestanding Vanity Unit with Basin and Laundry Hamper - Sofia — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:16:10.030Z] ✓ 1200mm Freestanding Double Vanity Unit with Wood Worktop - Windsor — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:16:15.817Z] ✓ 455mm Freestanding Cloakroom Vanity Unit with Basin - Classic — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:16:18.721Z] ✓ 1100mm Black Toilet and Sink Unit with Square Toilet - Pendle — 1/1 variants, 10 images, 1 variant images
[2026-09-26T12:16:30.787Z] ✓ 1100mm Toilet and Sink Unit with Fittings - Unit & Basin Only - Bali — 28/28 variants, 34 images, 28 variant images
[2026-09-26T12:16:38.283Z] ✓ Toilet and Sink Unit - Ontario — 24/24 variants, 31 images, 24 variant images
[2026-09-26T12:16:38.695Z] ✓ 900mm Cloakroom Toilet and Sink Unit with Square Toilet and Fittings - Ashford — 3/3 variants, 9 images, 3 variant images
[2026-09-26T12:16:39.589Z] ✓ Toilet and Sink Unit with Round Toilet - Pendle — 6/6 variants, 15 images, 6 variant images
[2026-09-26T12:16:56.616Z] ✓ Toilet and Sink Unit with Round Toilet and Push Button - Palma — 18/18 variants, 26 images, 18 variant images
[2026-09-26T12:17:00.926Z] ✓ 1800mm Toilet and Sink Unit with Storage Units & Fittings - Vancouver — 2/2 variants, 13 images, 2 variant images
[2026-09-26T12:17:01.394Z] ✓ 1150mm Wooden Fluted Toilet and Sink Unit with Square Toilet & Basin and Chrome Push Button - Matira — 2/2 variants, 14 images, 2 variant images
[2026-09-26T12:17:01.395Z] progress 100/1501 (ok 100, warnings 0, failed 0)
[2026-09-26T12:17:02.235Z] ✓ 1150mm Wooden Fluted Toilet and Sink Unit with Square Toilet and Chrome Fittings - Matira — 2/2 variants, 14 images, 2 variant images
[2026-09-26T12:17:20.947Z] ✓ 1500mm Toilet and Sink Unit with Storage Unit & Fittings - Vancouver — 2/2 variants, 12 images, 2 variant images
[2026-09-26T12:17:21.708Z] ✓ 1200mm Toilet and Sink Unit with Fittings - Vancouver — 2/2 variants, 9 images, 2 variant images
[2026-09-26T12:17:22.151Z] ✓ 500mm Back to Wall Toilet Unit Only - Ashford — 2/2 variants, 4 images, 2 variant images
[2026-09-26T12:17:23.458Z] ✓ 500mm Back to Wall Toilet Unit with Cistern and Fittings - Ashford — 5/5 variants, 7 images, 5 variant images
[2026-09-26T12:17:32.508Z] ✓ 500mm Dark Grey Back to Wall Toilet Unit Only - Westbury — 1/1 variants, 4 images, 1 variant images
[2026-09-26T12:17:34.782Z] ✓ 500mm Blue Back to Wall Toilet Unit and chrome fittings - Ashford — 1/1 variants, 3 images, 1 variant images
[2026-09-26T12:17:42.836Z] ✓ Single Door Chrome Bathroom Mirror Cabinet with Lights 500 x 700mm - Capricorn — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:17:44.111Z] ✓ Glass WC Toilet Unit with Cistern & Pneumatic Dual Flush Button for Back to Wall Toilets - Hako — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:17:44.456Z] ✗ Single Door Chrome Bathroom Mirror Cabinet with Battery Operated Lights 500 x 700mm - Capricorn — Image URL is invalid; Image URL is invalid; Image URL is invalid; Image URL is invalid; Image URL is invalid; Image URL is invalid; Image URL is invalid; Image URL is invalid; Image URL is invalid
[2026-09-26T12:17:44.888Z] ✓ Glass WC Toilet Unit with Cistern, Frame & Pneumatic Dual Flush Button for Wall Hung Toilets - Hako — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:17:53.840Z] ✓ Double Door Chrome Bathroom Mirror Cabinet with Lights 600 x 700mm - Capricorn — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:17:55.505Z] ✓ Single Door Bathroom Mirror Cabinet with Lights Demister & Shaver Socket 500 x 800mm - Empire — 3/3 variants, 11 images, 3 variant images
[2026-09-26T12:18:02.520Z] ✓ Single Door Chrome Bathroom Mirror Cabinet with Lights & Shaver Socket 500 x 700mm - Celeste — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:18:03.467Z] ✓ 500mm Green Back to Wall Toilet Unit Only - Avebury — 1/1 variants, 4 images, 1 variant images
[2026-09-26T12:18:03.932Z] ✓ Sliding Bathroom Mirror Cabinet with Lights 600 x 600mm - Elara — 2/2 variants, 8 images, 2 variant images
[2026-09-26T12:18:05.243Z] ✓ Double Door Bathroom Mirror Cabinet 667 x 600mm - Westbury — 3/3 variants, 7 images, 3 variant images
[2026-09-26T12:18:12.644Z] ✓ Double Door Chrome Bathroom Mirror Cabinet with Lights & Shaver Socket 750 x 700mm - Celeste — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:18:13.383Z] ✓ Triple Door Chrome Bathroom Mirror Cabinet with Lights Bluetooth Speaker & Demister 1200 x 700mm - Ursa — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:18:19.571Z] ✓ Triple Door Bathroom Mirror Cabinet with Lights Demister & Socket 1200 x 800mm - Artemis — 1/1 variants, 11 images, 1 variant images
[2026-09-26T12:18:20.926Z] ✓ Triple Door Recessed Bathroom Mirror Cabinet with Lights Demister & Socket 1200 x 700mm - Rona — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:18:26.356Z] ✓ Double Door Chrome Bathroom Mirror Cabinet with Lights, Bluetooth Speaker & Demister - Ursa — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:18:29.754Z] ✓ Double Door Beige Bathroom Mirror Cabinet with Lights Demister & Shaver Socket 780 x 700mm- Sidra — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:18:34.753Z] ✓ Single Door Corner Bathroom Mirror Cabinet with Lights 300 x 600mm - Lykos — 2/2 variants, 9 images, 2 variant images
[2026-09-26T12:18:35.169Z] ✓ Triple Door Beige Bathroom Mirror Cabinet with Lights Demister & Shaver Socket 1200 x 700mm- Sidra — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:18:35.169Z] progress 125/1501 (ok 124, warnings 0, failed 1)
[2026-09-26T12:18:37.947Z] ✓ Sensio Eclipse Single Door Recessed Bathroom Mirror Cabinet with Lights & Shaver Socket 700 x 500mm — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:18:43.747Z] ✓ Sensio Ainsley Double Door Chrome Bathroom Mirror Cabinet with Lights & Bluetooth Speaker 664 x 700mm — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:18:44.156Z] ✓ Sensio Eclipse Double Door Black Recessed Bathroom Mirror Cabinet with Lights, Demister & Shaver Socket 600 x 700mm — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:18:44.992Z] ✓ Triple Door Bathroom Mirror Cabinet with Lights Demister & Shaver Socket 1200 x 690mm - Empire — 2/2 variants, 11 images, 2 variant images
[2026-09-26T12:18:47.178Z] ✓ Sensio Sydney Double Door Black Bathroom Mirror Cabinet with Lights & Shelf 600 x 900mm — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:18:53.343Z] ✓ Sensio Ainsley 3 Door Chrome Bathroom Mirror Cabinet with Lights & Bluetooth Speaker 1200 x 700mm — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:18:53.740Z] ✓ Sensio Luka Double Door Chrome Bathroom Mirror Cabinet with Lights, Built in Alexa and Bluetooth 660 x 700mm — 1/1 variants, 6 images, 1 variant images
[2026-09-26T12:18:54.655Z] ✓ Single Door Round Chrome Heated Bathroom Mirror Cabinet with Lights 800mm - Luna — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:19:02.042Z] ✓ Double Door Chrome Mirrored Bathroom Cabinet with Lights 800 x 700mm - Capricorn — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:19:02.486Z] ✓ Double Door White Wall Hung Tall Bathroom Cabinet with Black Handles 350 1400mm- Ashford — 1/1 variants, 4 images, 1 variant images
[2026-09-26T12:19:03.583Z] ✓ 500mm Black Freestanding Countertop Vanity Unit - Palma — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:19:09.593Z] ✓ Double Door Wall Hung Tall Bathroom Cabinet with Handles 350 x 1400mm - Ashford — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:19:23.230Z] ✓ Freestanding Double Ended Bath - Riley — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:19:27.065Z] ✓ Freestanding Double Ended Bath - Lisbon — 13/13 variants, 19 images, 13 variant images
[2026-09-26T12:19:28.852Z] ✓ Freestanding Single Ended Corner Bath - Amaro — 8/8 variants, 14 images, 8 variant images
[2026-09-26T12:19:31.083Z] ✓ Freestanding Back to Wall Double Ended Bath - Manilla — 3/3 variants, 5 images, 3 variant images
[2026-09-26T12:19:44.270Z] ✓ Freestanding Double Ended Back to Wall Bath - Alto — 2/2 variants, 8 images, 2 variant images
[2026-09-26T12:19:47.816Z] ✓ Freestanding Single Ended Corner Bath 1650 x 740mm - Lisbon — 2/2 variants, 6 images, 2 variant images
[2026-09-26T12:19:49.566Z] ✓ Freestanding Double Ended Back to Wall Bath - Oslo — 3/3 variants, 8 images, 3 variant images
[2026-09-26T12:19:51.210Z] ✓ Freestanding Double Ended Bath - Rosa — 4/4 variants, 6 images, 4 variant images
[2026-09-26T12:19:56.858Z] ✓ Freestanding Single Ended Right Hand Corner Bath 1700 x 750mm - Vigo — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:19:57.876Z] ✓ Freestanding Double Ended Bath 1670 x 730mm - Venice — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:20:04.779Z] ✓ L Shaped Shower Bath - Lomax — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:20:06.197Z] ✓ Freestanding Japanese Soaking Deep Bath With Seat 1200 x 630mm - Niki — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:20:12.539Z] ✓ Rutland Square Single Ended Bath — 3/3 variants, 6 images, 3 variant images
[2026-09-26T12:20:12.541Z] progress 150/1501 (ok 149, warnings 0, failed 1)
[2026-09-26T12:20:13.798Z] ✓ Freestanding Single Ended Left Hand Fluted Corner Bath 1650 x 800mm - Amaro — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:20:17.487Z] ✓ Freestanding Single Ended Corner Bath 1600 x 780mm - Cove — 2/2 variants, 8 images, 2 variant images
[2026-09-26T12:20:26.663Z] ✓ Freestanding Single Ended Corner Bath 1500 x 740mm - Kona — 2/2 variants, 8 images, 2 variant images
[2026-09-26T12:20:35.736Z] ✓ L Shaped Shower Bath with Front Panel & Bath Screen, - Lomax — 7/7 variants, 17 images, 7 variant images
[2026-09-26T12:20:36.908Z] ✓ Freestanding Double Ended Stone Resin Solid Surface Bath - Opal — 2/2 variants, 9 images, 2 variant images
[2026-09-26T12:20:37.481Z] ✓ Freestanding Single Ended Shower Bath with Screen & Feet 1670 x 740 mm - Park Royal — 16/16 variants, 22 images, 16 variant images
[2026-09-26T12:20:45.576Z] ✓ Freestanding Double Ended Small Round Corner Bath 1000 x 1000mm - Malta — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:20:46.979Z] ✓ Single Ended Wide End Shower Bath - Cotswold — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:20:56.753Z] ✓ Freestanding Double Ended Back to Wall Bath - Gable — 2/2 variants, 8 images, 2 variant images
[2026-09-26T12:21:04.323Z] ✓ Freestanding Shower Bath Single Ended Corner with Bath Screen - Amaro — 23/23 variants, 29 images, 23 variant images
[2026-09-26T12:21:07.712Z] ✓ Freestanding Double Ended Back to Wall Bath with Feet - Park Royal — 5/5 variants, 10 images, 5 variant images
[2026-09-26T12:21:09.010Z] ✓ Freestanding Shower Bath Single Ended Corner with Bath Screen 1600 x 780mm - Cove — 6/6 variants, 16 images, 6 variant images
[2026-09-26T12:21:16.556Z] ✓ Freestanding Double Ended Slipper Bath 1700 x 795mm - Arles — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:21:18.005Z] ✓ Freestanding Japanese Soaking Deep Bath 1500 x 800mm - Tokyo — 1/1 variants, 4 images, 1 variant images
[2026-09-26T12:21:21.979Z] ✓ Freestanding Single Ended Roll Top Slipper Bath with Feet 1615 x 690mm - Park Royal — 10/10 variants, 18 images, 10 variant images
[2026-09-26T12:21:31.809Z] ✓ Freestanding Double Ended Roll Top Bath with Feet - Park Royal — 23/23 variants, 28 images, 23 variant images
[2026-09-26T12:21:38.960Z] ✓ Matt White Freestanding Back to Wall Double Ended Bath - Rosa — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:21:40.045Z] ✓ Matt White Freestanding Fluted Double Ended Bath 1650 x 740mm - Capri — 1/1 variants, 4 images, 1 variant images
[2026-09-26T12:21:41.182Z] ✓ Freestanding Shower Bath Single Ended Corner with Bath Screen 1650 x 740mm - Lisbon — 6/6 variants, 12 images, 6 variant images
[2026-09-26T12:21:47.045Z] ✓ Freestanding Single Ended Fluted Corner Bath 1650 x 800mm With Bath Screen - Amaro — 6/6 variants, 11 images, 6 variant images
[2026-09-26T12:21:48.208Z] ✓ Freestanding Fluted Double Ended Back To Wall Bath 1500 x 745mm - Gable — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:21:55.222Z] ✓ Freestanding Single Ended Slipper Bath 1520 x 715mm - Newport — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:22:05.463Z] ✓ Single Ended Shower Bath with Front Panel & Bath Screen - Cotswold — 5/5 variants, 11 images, 5 variant images
[2026-09-26T12:22:06.060Z] ✓ Freestanding Single Ended Bath with Feet 1670 x 740mm - Park Royal — 20/20 variants, 24 images, 20 variant images
[2026-09-26T12:22:07.995Z] ✓ Double Ended Whirlpool Spa Bath with 14 Whirlpool Jets 1700 x 750mm - Burford — 3/3 variants, 8 images, 3 variant images
[2026-09-26T12:22:07.997Z] progress 175/1501 (ok 174, warnings 0, failed 1)
[2026-09-26T12:22:15.869Z] ✓ Freestanding Double Ended Bath 1690 x 800mm - Helmsley — 3/3 variants, 8 images, 3 variant images
